Year,Month,Day,Temp (°C),Dew Point Temp (°C),Rel Hum (%),Wind Dir (10s deg),Wind Spd (km/h),Visibility (km),Stn Press (kPa),Hmdx,Wind Chill,Precip. Amount (mm)
1964,2,28,-30.558333333333337,-36.020833333333336,60.083333333333336,29.416666666666668,9.083333333333334,22.36666666666667,100.10375,,-38.625,
1964,2,29,-28.079166666666666,-31.804166666666664,70.70833333333333,29.916666666666668,11.083333333333334,11.979166666666666,99.96333333333337,,-36.91666666666666,
1964,3,1,-31.554166666666664,-36.02916666666667,64.91666666666667,14.090909090909092,3.0,23.433333333333337,100.49916666666664,,-39.0,
1964,3,2,-31.47083333333333,-36.221739130434784,61.69565217391305,11.791666666666666,11.041666666666666,24.100000000000005,100.5,,-41.208333333333336,
1964,3,3,-29.029166666666665,-33.809090909090905,58.04545454545455,22.25,5.25,24.100000000000005,99.82,,-34.5625,
1964,3,4,-33.84583333333333,-38.7,47.73333333333333,28.615384615384617,2.833333333333333,24.100000000000005,100.5075,,-37.84615384615385,
1964,3,5,-29.59583333333333,-34.12916666666666,65.91666666666667,29.545454545454547,12.541666666666666,21.3625,101.89458333333334,,-38.77272727272727,
1964,3,6,-31.75,-35.630434782608695,66.73913043478261,29.0,7.25,21.629166666666663,102.37833333333332,,-38.35294117647059,
1964,3,7,-36.18333333333334,-32.46666666666667,68.33333333333333,12.5,1.7916666666666667,24.100000000000005,101.76083333333334,,-40.4,
1964,3,8,-38.37916666666667,-39.1,59.09090909090909,26.83333333333333,3.458333333333333,22.0875,101.53583333333334,,-42.583333333333336,
1964,3,9,-37.16666666666666,-39.35833333333333,56.5,29.52380952380953,4.625,20.758333333333336,101.55291666666665,,-43.095238095238095,
1964,3,10,-40.0125,-39.65,48.625,17.7,2.083333333333333,21.3625,101.31875,,-44.1,
1964,3,11,-40.22916666666666,-42.46666666666667,45.77777777777778,14.066666666666666,3.083333333333333,19.616666666666667,100.79708333333332,,-45.13333333333333,
1964,3,12,-40.25,-42.07000000000001,47.5,18.19047619047619,6.041666666666667,17.370833333333334,100.05208333333331,,-47.47619047619048,
1964,3,13,-38.40833333333334,-41.38333333333333,53.91666666666666,29.05555555555556,7.75,17.162499999999998,100.34958333333334,,-46.55555555555556,
1964,3,14,-39.56249999999999,-38.74166666666667,60.833333333333336,24.27777777777778,5.125,16.337500000000002,100.9825,,-44.16666666666666,
1964,3,15,-25.816666666666663,-30.71666666666667,63.79166666666666,23.545454545454547,14.75,17.34166666666667,101.78041666666668,,-35.68181818181818,
1964,3,16,-25.5875,-30.229166666666668,65.66666666666667,9.818181818181818,11.833333333333334,24.100000000000005,100.87958333333334,,-34.09090909090909,
1964,3,17,-32.50416666666666,-38.2047619047619,52.523809523809526,28.88235294117647,4.958333333333333,24.100000000000005,101.41791666666668,,-37.41176470588236,
1964,3,18,-28.96666666666667,-28.026666666666667,56.6,21.5,4.125,24.100000000000005,103.17083333333332,,-26.25,
1964,3,19,-23.4375,-29.97083333333333,56.083333333333336,17.529411764705884,4.0,24.100000000000005,102.93625000000002,,-26.88235294117647,
1964,3,20,-24.991666666666664,-30.525,60.833333333333336,8.73913043478261,8.208333333333334,24.100000000000005,102.93708333333332,,-31.73913043478261,
1964,3,21,-23.279166666666665,-28.7875,61.41666666666666,13.708333333333334,10.75,24.100000000000005,103.00666666666666,,-31.20833333333333,
1964,3,22,-20.78333333333333,-24.77083333333333,70.33333333333333,17.708333333333332,13.458333333333334,24.100000000000005,102.27875,,-29.33333333333333,
1964,3,23,-14.854166666666666,-18.8625,71.375,21.52380952380953,7.833333333333333,11.983333333333334,100.55916666666668,,-20.09523809523809,
1964,3,24,-20.1125,-24.008333333333336,71.375,14.9,5.5,20.96666666666667,100.91541666666669,,-24.85,
1964,3,25,-22.366666666666664,-25.7,74.0,31.5,15.416666666666666,15.433333333333332,101.35625,,-31.666666666666668,
1964,3,26,-34.62916666666667,-35.49333333333333,66.93333333333334,21.714285714285715,6.0,24.100000000000005,102.07541666666668,,-41.333333333333336,
1964,3,27,-35.895833333333336,-37.84666666666667,51.66666666666666,8.416666666666666,6.375,24.100000000000005,102.14791666666667,,-43.16666666666666,
1964,3,28,-30.229166666666668,-35.59130434782608,57.69565217391305,8.666666666666666,8.875,24.100000000000005,101.73458333333332,,-38.75,
1964,3,29,-26.52916666666667,-30.45217391304348,65.65217391304348,9.333333333333334,9.0,24.100000000000005,101.61875,,-34.333333333333336,
1964,3,30,-24.741666666666664,-31.20416666666667,55.875,7.95,8.166666666666666,24.100000000000005,100.64583333333331,,-30.85,
1964,3,31,-28.979166666666668,-34.6,59.125,25.05555555555556,4.208333333333333,22.233333333333334,100.17916666666667,,-33.05555555555556,
1964,4,1,-23.154166666666665,-27.383333333333336,69.20833333333333,25.73913043478261,6.916666666666667,16.0125,100.15166666666666,,-29.39130434782609,
1964,4,2,-27.55,-32.145833333333336,65.54166666666667,24.210526315789476,6.041666666666667,23.76666666666667,100.735,,-33.21052631578947,
1964,4,3,-27.320833333333336,-31.566666666666663,67.33333333333333,33.833333333333336,25.95833333333333,10.179166666666667,101.28000000000002,,-41.0,
1964,4,4,-22.8125,-28.47083333333333,61.0,20.0,9.0,22.23333333333333,102.58083333333332,,-27.55555555555556,
1964,4,5,-16.241666666666667,-21.566666666666663,64.04166666666667,19.789473684210527,7.708333333333333,24.100000000000005,102.1125,,-22.210526315789476,
1964,4,6,-16.116666666666667,-19.4375,75.5,11.458333333333334,11.291666666666666,14.725,101.79333333333334,,-22.791666666666668,
1964,4,7,-21.59583333333333,-27.10833333333333,61.75,19.416666666666668,6.375,21.9625,102.14666666666666,,-26.666666666666668,
1964,4,8,-23.758333333333336,-29.60833333333333,59.458333333333336,7.571428571428571,3.9166666666666665,24.100000000000005,101.73541666666664,,-29.5,
