,Year,January,February,March,April,May,June,July,August,September,October,November,December
49,2008,-28.5127688172043,-30.02629310344827,-30.60591397849462,-13.02375,-3.073521505376344,3.295555555555555,6.939662225338943,3.381077606358111,-1.520700483091787,-12.21534011220196,-18.56789251207729,-27.8187412342216
50,2009,-30.88139901823282,-28.13571428571428,-33.12705703599813,-15.08433574879227,-5.5820301542777,3.211690821256038,6.415871902758298,6.064521972884525,1.461322463768116,-7.429178354371202,-23.06440766359245,-24.45949041608228
51,2010,-31.3018817204301,-25.38925983436853,-24.02199625993454,-7.869329710144927,-5.160215053763441,3.509559178743962,9.909272599770496,8.800945854052447,0.7781944444444449,-7.65237260402057,-15.45770531400966,-30.53777359853797
52,2011,-28.37215404394577,-24.17342779503105,-24.0294647031323,-20.2810688405797,-4.287752120483535,2.458448067632851,8.663347358578775,7.313984338475923,1.750086187966623,-6.93726305835352,-27.45594202898551,-27.87675156190234
53,2012,-34.51679523141655,-27.80416041979011,-34.16992169237962,-15.16163043478261,-3.802432636321135,6.189729986197378,11.17331697054698,7.685204428577501,1.316787439613526,-7.325212048353704,-22.08483750548968,-33.2914090059076
54,2013,-34.14700377345889,-33.6243188036084,-28.40674486803519,-22.45994565217391,-7.793835798376471,4.037676297132819,7.942753623188405,7.628494623655913,1.856805555555556,-1.954758565417752,-17.1176820220842,-27.42528467908902
55,2014,-26.41424731182796,-27.56862707039337,-22.17251051893408,-15.06003623188406,-1.974643525011688,4.818309178743961,7.605917166050406,5.756317204301074,-0.1931159420289855,-7.088867461430574,-19.94650032938076,-24.32352150537635
56,2015,-26.90426016830295,-24.19552277432712,-22.01757246376812,-11.50194444444444,-1.540860215053763,4.803532608695652,8.827419354838707,5.935887096774195,0.8306099033816424,-7.316368630201028,-16.3712922705314,-26.17241117344554
57,2016,-20.65900537634409,-24.6404047976012,-21.68734805984105,-14.11805555555556,-1.538709677419355,3.969118357487921,9.220564516129034,7.499462365591399,-0.145,-8.25712365591398,-18.21627415458937,-24.90436535764376
58,2017,-21.75935016362786,-24.74940476190476,-24.38562412342216,-16.68648550724638,-1.666362786348761,2.422361111111111,7.906749649368862,8.838037634408602,3.256805555555556,-5.185478027115474,-18.39728260869565,-18.56077188940092
59,2018,-25.31897498831229,-21.53887810559007,-21.22876344086022,-16.75024758454106,-4.488575268817204,2.533230676328502,8.453054740957967,4.084811827956989,-3.20006038647343,-6.959543010752689,-18.63209541062802,-22.26626344086021
60,2019,-25.86411290322581,-20.42842261904762,-12.85833333333333,-13.48701086956522,-3.148468910705936,1.934861111111112,7.481989247311828,4.014919354838709,3.340277777777778,-5.777822580645163,-17.57308574879227,-30.36034946236559
61,2020,-30.85779569892473,-30.56155047476262,-23.01629850397383,-14.70666666666667,-5.343145161290323,3.377083333333333,6.368478260869564,7.725222066386163,2.306805555555556,-7.225146096306685,-18.14179951690822,-26.77204301075269
