Year,Month,Pv,Klo,TZ,Precipitation (mm), Temperature (degC)
1988,9,1,00:00,UTC,40.4,7.2
1988,10,1,00:00,UTC,56.1,-0.1
1988,11,1,00:00,UTC,33.6,-11.1
1988,12,1,00:00,UTC,22.5,-15.5
1989,1,1,00:00,UTC,39.7,-8.9
1989,2,1,00:00,UTC,23.8,-9
1989,3,1,00:00,UTC,24,-2.7
1989,4,1,00:00,UTC,20.8,2.2
1989,5,1,00:00,UTC,60.1,6.7
1989,6,1,00:00,UTC,65.3,13
1989,7,1,00:00,UTC,105.1,13.4
1989,8,1,00:00,UTC,59,12.1
1989,9,1,00:00,UTC,41.3,6.4
1989,10,1,00:00,UTC,13.4,-0.6
1989,11,1,00:00,UTC,29.4,-4.5
1989,12,1,00:00,UTC,26.5,-12.4
1990,1,1,00:00,UTC,23.8,-15.7
1990,2,1,00:00,UTC,21.2,-3.2
1990,3,1,00:00,UTC,14.8,-6.3
1990,4,1,00:00,UTC,3.8,0.5
1990,5,1,00:00,UTC,18.3,4.1
1990,6,1,00:00,UTC,29.1,10.6
1990,7,1,00:00,UTC,59.5,13.5
1990,8,1,00:00,UTC,72.9,12.1
1990,9,1,00:00,UTC,8,5.3
1990,10,1,00:00,UTC,13.5,0.6
1990,11,1,00:00,UTC,20.9,-8.5
1990,12,1,00:00,UTC,32.8,-5.5
1991,1,1,00:00,UTC,14.4,-10.7
1991,2,1,00:00,UTC,6.7,-13.3
1991,3,1,00:00,UTC,61.1,-9
1991,4,1,00:00,UTC,4.6,-0.7
1991,5,1,00:00,UTC,32.4,3.5
1991,6,1,00:00,UTC,62.5,10.7
1991,7,1,00:00,UTC,26.7,13.4
1991,8,1,00:00,UTC,75.9,12.2
1991,9,1,00:00,UTC,49.5,4.5
1991,10,1,00:00,UTC,41.1,0.3
1991,11,1,00:00,UTC,51.8,-4.7
1991,12,1,00:00,UTC,28.5,-8
1992,1,1,00:00,UTC,26.2,-7.9
1992,2,1,00:00,UTC,20.7,-6.3
1992,3,1,00:00,UTC,24,-3.3
1992,4,1,00:00,UTC,18.7,-4.1
1992,5,1,00:00,UTC,19.5,6.8
1992,6,1,00:00,UTC,74.6,12.8
1992,7,1,00:00,UTC,123.3,11.3
1992,8,1,00:00,UTC,137.2,9.2
1992,9,1,00:00,UTC,72,8.4
1992,10,1,00:00,UTC,16.7,-7.5
1992,11,1,00:00,UTC,30.6,-10.6
1992,12,1,00:00,UTC,52.2,-4.9
1993,1,1,00:00,UTC,33.5,-9.4
1993,2,1,00:00,UTC,14.1,-9.7
1993,3,1,00:00,UTC,29.6,-7.8
1993,4,1,00:00,UTC,35.6,-2.7
1993,5,1,00:00,UTC,47.9,4.2
1993,6,1,00:00,UTC,127.4,6.7
1993,7,1,00:00,UTC,60.1,14
1993,8,1,00:00,UTC,29.8,11.1
1993,9,1,00:00,UTC,11.9,2.7
1993,10,1,00:00,UTC,80.6,-3.4
1993,11,1,00:00,UTC,3.2,-4.6
1993,12,1,00:00,UTC,29,-10.2
1994,1,1,00:00,UTC,49.1,-16.5
1994,2,1,00:00,UTC,10.7,-11.6
1994,3,1,00:00,UTC,8.5,-7.1
1994,4,1,00:00,UTC,19.1,1
1994,5,1,00:00,UTC,37.9,3.1
1994,6,1,00:00,UTC,26.3,10
1994,7,1,00:00,UTC,50.4,14.1
1994,8,1,00:00,UTC,45.8,12.3
1994,9,1,00:00,UTC,29.4,5.3
1994,10,1,00:00,UTC,40.8,-1.2
1994,11,1,00:00,UTC,30.6,-7.9
1994,12,1,00:00,UTC,37.3,-5.9
1995,1,1,00:00,UTC,11.3,-10.3
1995,2,1,00:00,UTC,33.9,-8.2
1995,3,1,00:00,UTC,22.3,-3.6
1995,4,1,00:00,UTC,27.1,-2.2
1995,5,1,00:00,UTC,34.9,3.2
1995,6,1,00:00,UTC,88.9,11.8
1995,7,1,00:00,UTC,47.3,11.9
1995,8,1,00:00,UTC,115.8,10.9
1995,9,1,00:00,UTC,12.2,5.7
1995,10,1,00:00,UTC,104.5,-1.1
1995,11,1,00:00,UTC,49.5,-12.1
1995,12,1,00:00,UTC,6.3,-16.3
1996,1,1,00:00,UTC,14.2,-8.3
1996,2,1,00:00,UTC,24.7,-13.4
1996,3,1,00:00,UTC,22.9,-6.4
1996,4,1,00:00,UTC,55.3,-3.7
1996,5,1,00:00,UTC,30.6,1.4
1996,6,1,00:00,UTC,49.4,8.7
1996,7,1,00:00,UTC,54.1,12.3
1996,8,1,00:00,UTC,45.4,13.6
1996,9,1,00:00,UTC,16.5,5.5
1996,10,1,00:00,UTC,76,1.7
1996,11,1,00:00,UTC,53.2,-6.5
1996,12,1,00:00,UTC,25.5,-14
1997,1,1,00:00,UTC,27.5,-13.8
1997,2,1,00:00,UTC,42.8,-12.5
1997,3,1,00:00,UTC,37.3,-6.6
1997,4,1,00:00,UTC,28.2,-5.8
1997,5,1,00:00,UTC,44.5,2.9
1997,6,1,00:00,UTC,6.5,10.8
1997,7,1,00:00,UTC,18.6,15.3
1997,8,1,00:00,UTC,55,13.8
1997,9,1,00:00,UTC,73.2,8
1997,10,1,00:00,UTC,23.7,-0.7
1997,11,1,00:00,UTC,20.7,-7.9
1997,12,1,00:00,UTC,18.8,-9.6
1998,1,1,00:00,UTC,41.9,-13.2
1998,2,1,00:00,UTC,80.5,-22.1
1998,3,1,00:00,UTC,21,-10.9
1998,4,1,00:00,UTC,23.3,-4.5
1998,5,1,00:00,UTC,71.6,3.2
1998,6,1,00:00,UTC,95.2,8.1
1998,7,1,00:00,UTC,82.7,14.8
